name,state,population,county_fips,is_county
Lake County,FL,386829,069,True
Allen County,IN,385456,003,True
Forsyth County,NC,383739,067,True
Mercer County,NJ,383732,021,True
Lane County,OR,382218,039,True
"Orleans Parish, Louisiana County",LA,380408,071,True
Collier County,FL,380221,021,True
Marion County,FL,378225,083,True
Brazoria County,TX,374600,039,True
Stark County,OH,374199,151,True
Lehigh County,PA,374110,077,True
Bell County,TX,372821,027,True
Washtenaw County,MI,370231,161,True
Hamilton County,TN,367193,065,True
Chesterfield County,VA,366019,041,True
Anoka County,MN,363985,003,True
Davis County,UT,363032,011,True
Douglas County,CO,360206,035,True
Larimer County,CO,359363,069,True
Horry County,SC,356578,051,True
Westmoreland County,PA,354414,129,True
Nueces County,TX,353245,355,True
Galveston County,TX,350801,167,True
Hamilton County,IN,349527,057,True
Marion County,OR,345815,047,True
Somerset County,NJ,344978,035,True
Rutherford County,TN,343727,149,True
Rockland County,NY,337326,087,True
Cumberland County,NC,335207,051,True
St. Lucie County,FL,334682,111,True
Henrico County,VA,333120,087,True
Howard County,MD,332011,027,True
Weld County,CO,331466,123,True
Spartanburg County,SC,330119,083,True
Boulder County,CO,328658,013,True
"Greater Bridgeport Planning Region, Connecticut County",CT,326381,120,True
Luzerne County,PA,325396,079,True
Durham County,NC,325101,063,True
Lancaster County,NE,322063,109,True
Escambia County,FL,321296,033,True
Fayette County,KY,321276,067,True
Rockingham County,NH,315169,015,True
Albany County,NY,315041,001,True
Northampton County,PA,314299,095,True
Lorain County,OH,313101,093,True
Lubbock County,TX,311509,303,True
McHenry County,IL,311133,111,True
Cumberland County,ME,303357,005,True
Gloucester County,NJ,302621,015,True
Greene County,MO,299188,077,True
"St. Louis city, Missouri County",MO,298018,510,True
Dutchess County,NY,296467,027,True
Clayton County,GA,296312,063,True
Chatham County,GA,296266,051,True
Ottawa County,MI,296183,139,True
Lexington County,SC,295934,063,True
Cleveland County,OK,295060,027,True
Thurston County,WA,294272,067,True
Leon County,FL,294128,073,True
"Anchorage Municipality, Alaska County",AK,290674,020,True
Benton County,AR,286528,007,True
Dauphin County,PA,286108,043,True
Winnebago County,IL,284591,201,True
York County,SC,282987,091,True
Ingham County,MI,282540,065,True
Merced County,CA,282290,047,True
San Luis Obispo County,CA,281712,079,True
"Southeastern Connecticut Planning Region, Connecticut County",CT,280293,180,True
Alachua County,FL,279729,001,True
St. Johns County,FL,278722,109,True
Kitsap County,WA,275411,035,True
Atlantic County,NJ,274339,001,True
Frederick County,MD,273829,021,True
St. Joseph County,IN,272388,141,True
Erie County,PA,270495,049,True
Buncombe County,NC,269449,021,True
Washington County,MN,268651,163,True
Santa Cruz County,CA,268571,087,True
Cherokee County,GA,268567,057,True
Brown County,WI,268393,009,True
Webb County,TX,267282,479,True
"St. Tammany Parish, Louisiana County",LA,266168,103,True
Madison County,IL,265512,119,True
Weber County,UT,262960,057,True
Kalamazoo County,MI,261426,077,True
Cumberland County,PA,261269,041,True
McLennan County,TX,261090,309,True
Harford County,MD,261059,025,True
Marin County,CA,260485,041,True
St. Clair County,IL,256791,163,True
Yakima County,WA,256143,077,True
Jefferson County,TX,254942,245,True
Forsyth County,GA,253225,117,True
Clay County,MO,253085,047,True
"Chesapeake city, Virginia County",VA,249377,550,True
Williamson County,TN,248897,187,True
Washington County,AR,247331,143,True
Hays County,TX,245351,209,True
Warren County,OH,243189,165,True
"Lafayette Parish, Louisiana County",LA,243175,055,True
Henry County,GA,240853,151,True
Sussex County,DE,240668,005,True
Union County,NC,240109,179,True
Yavapai County,AZ,237830,025,True
"Norfolk city, Virginia County",VA,236973,710,True
Saratoga County,NY,236328,091,True
"Caddo Parish, Louisiana County",LA,236259,017,True
Arlington County,VA,235845,013,True
Canyon County,ID,235006,027,True
Smith County,TX,234667,423,True
Brazos County,TX,234548,041,True
Baldwin County,AL,233420,003,True
Lake County,OH,232236,085,True
Tuscaloosa County,AL,231558,125,True
Berkeley County,SC,231419,015,True
Oneida County,NY,231055,065,True
Barnstable County,MA,229436,001,True
Linn County,IA,229308,113,True
Gaston County,NC,228972,071,True
New Hanover County,NC,228134,129,True
Montgomery County,AL,228132,101,True
Mahoning County,OH,227979,099,True
"Richmond city, Virginia County",VA,227171,760,True
Jefferson County,MO,226984,099,True
Hinds County,MS,226541,049,True
Whatcom County,WA,226523,073,True
Cabarrus County,NC,226396,025,True
Shelby County,AL,223916,117,True
Jackson County,OR,222604,029,True
Montgomery County,TN,222305,125,True
Doña Ana County,NM,219870,013,True
Clay County,FL,219650,019,True
Johnston County,NC,219042,101,True
Yolo County,CA,217141,113,True
Delaware County,OH,216074,041,True
