name,state,median_household_income,median_home_value
San Anselmo,CA,165366.0,1473100.0
San Antonio Heights,CA,133250.0,1053600.0
San Ardo,CA,70417.0,342400.0
San Bernardino,CA,61323.0,347100.0
San Bruno,CA,131669.0,1187600.0
San Buenaventura (Ventura),CA,96036.0,714000.0
San Carlos,CA,219413.0,2000001.0
San Clemente,CA,134730.0,1161000.0
Sand City,CA,68333.0,660700.0
San Diego,CA,98657.0,783300.0
San Diego Country Estates,CA,135785.0,656500.0
San Dimas,CA,102241.0,715400.0
San Fernando,CA,70950.0,604300.0
San Francisco,CA,136689.0,1348700.0
San Gabriel,CA,84056.0,850700.0
Sanger,CA,69333.0,325200.0
San Geronimo,CA,217375.0,1160700.0
San Jacinto,CA,73682.0,345800.0
San Joaquin,CA,43750.0,220000.0
San Jose,CA,136010.0,1149600.0
San Juan Bautista,CA,103036.0,654500.0
San Juan Capistrano,CA,123474.0,888200.0
San Leandro,CA,97141.0,772700.0
San Lorenzo,CA,102860.0,797000.0
San Lucas,CA,64750.0,225000.0
San Luis Obispo,CA,65000.0,841700.0
San Marcos,CA,99413.0,728800.0
San Marino,CA,174253.0,2000001.0
San Martin,CA,141296.0,1256700.0
San Mateo,CA,149152.0,1508900.0
San Miguel (Contra Costa County),CA,238472.0,1562500.0
San Miguel (San Luis Obispo County),CA,73008.0,367200.0
San Pablo,CA,72552.0,476700.0
San Pasqual,CA,132500.0,1192100.0
San Rafael,CA,113839.0,1212000.0
San Ramon,CA,190829.0,1254900.0
San Simeon,CA,58125.0,289700.0
Santa Ana,CA,84210.0,624000.0
Santa Barbara,CA,98346.0,1346800.0
Santa Clara,CA,165352.0,1440200.0
Santa Clarita,CA,116186.0,669200.0
Santa Cruz,CA,105491.0,1116100.0
Santa Fe Springs,CA,81500.0,585200.0
Santa Margarita,CA,,650900.0
Santa Maria,CA,81237.0,438100.0
Santa Monica,CA,106797.0,1654800.0
Santa Nella,CA,84912.0,445100.0
Santa Paula,CA,72014.0,519700.0
Santa Rosa,CA,92604.0,661700.0
Santa Rosa Valley,CA,176058.0,1462800.0
Santa Susana,CA,,680700.0
Santa Venetia,CA,120446.0,925100.0
Santa Ynez,CA,144792.0,1068300.0
Santee,CA,101777.0,601600.0
Saranap,CA,139729.0,1324300.0
Saratoga,CA,237730.0,2000001.0
Saticoy,CA,81491.0,365700.0
Sattley,CA,,
Sausalito,CA,163170.0,1735000.0
Scotia,CA,61250.0,275000.0
Scotts Valley,CA,136867.0,1051700.0
Seacliff,CA,109269.0,1041200.0
Seal Beach,CA,75507.0,483100.0
Sea Ranch,CA,92260.0,1104800.0
Searles Valley,CA,54013.0,78000.0
Seaside,CA,80239.0,652200.0
Sebastopol,CA,98185.0,824400.0
Seeley,CA,55035.0,162000.0
Selma,CA,53874.0,251300.0
Sequoia Crest,CA,,
Sereno del Mar,CA,,1201600.0
Seville,CA,39500.0,145800.0
Shafter,CA,66418.0,248600.0
Shandon,CA,82344.0,394100.0
Shasta,CA,108438.0,385600.0
Shasta Lake,CA,54490.0,245200.0
Shaver Lake,CA,125000.0,606700.0
Shell Ridge,CA,234160.0,1666100.0
Shelter Cove,CA,41732.0,435000.0
Sheridan,CA,68859.0,351000.0
Shingle Springs,CA,105789.0,647300.0
Shingletown,CA,71225.0,246300.0
Shoshone,CA,,
Sierra Brooks,CA,60307.0,270700.0
Sierra City,CA,87759.0,385700.0
Sierra Madre,CA,128056.0,1141200.0
Sierra Village,CA,,
Sierraville,CA,,781300.0
Signal Hill,CA,96385.0,684900.0
Silverado,CA,89479.0,646200.0
Silverado Resort,CA,161778.0,1237600.0
Silver City,CA,,
Silver Lakes,CA,105993.0,329700.0
Simi Valley,CA,112144.0,704200.0
Sisquoc,CA,72000.0,437500.0
Sky Valley,CA,45985.0,131500.0
Sleepy Hollow,CA,207847.0,2000001.0
Smartsville,CA,76213.0,429100.0
Smith Corner,CA,41250.0,99600.0
Smith River,CA,95350.0,335300.0
Snelling,CA,44861.0,232900.0
Soda Bay,CA,87443.0,278800.0
Soda Springs,CA,,
Solana Beach,CA,137647.0,1617500.0
Soledad,CA,85040.0,527400.0
Solvang,CA,108074.0,868000.0
Somis,CA,128750.0,1033300.0
Sonoma,CA,96090.0,924700.0
Sonoma State University,CA,,
Sonora,CA,60492.0,376100.0
Soquel,CA,113918.0,876100.0
Soulsbyville,CA,75344.0,328100.0
South Dos Palos,CA,,242500.0
South El Monte,CA,67724.0,570100.0
South Gate,CA,67188.0,578900.0
South Lake Tahoe,CA,67686.0,571700.0
South Monrovia Island,CA,110000.0,639700.0
South Oroville,CA,66150.0,223600.0
South Pasadena,CA,127882.0,1453500.0
South San Francisco,CA,127062.0,1113000.0
South San Gabriel,CA,71944.0,632800.0
South San Jose Hills,CA,87961.0,505600.0
South Taft,CA,28333.0,112200.0
South Whittier,CA,94149.0,624000.0
Spaulding,CA,23378.0,217900.0
Spreckels,CA,,860000.0
Spring Garden,CA,,
Spring Valley (Lake County),CA,41486.0,354100.0
Spring Valley (San Diego County),CA,98099.0,600400.0
Spring Valley Lake,CA,90663.0,398600.0
Springville,CA,81319.0,264800.0
Squaw Valley,CA,82969.0,289500.0
Squirrel Mountain Valley,CA,,343400.0
Stallion Springs,CA,71765.0,347400.0
Stanford,CA,69631.0,2000001.0
Stanton,CA,76123.0,505000.0
Stebbins,CA,103750.0,286900.0
Stevenson Ranch,CA,147083.0,967500.0
Stevinson,CA,118667.0,
Stinson Beach,CA,74405.0,1656300.0
Stirling City,CA,,271500.0
Stockton,CA,71612.0,382000.0
Stones Landing,CA,144464.0,195600.0
Stonyford,CA,,186300.0
Stratford,CA,,137000.0
Strathmore,CA,40106.0,119300.0
Strawberry (Marin County),CA,135375.0,1925000.0
Strawberry (Tuolumne County),CA,,
Sugarloaf Saw Mill,CA,,
Sugarloaf Village,CA,,
Suisun City,CA,95394.0,486000.0
Sultana,CA,38125.0,318800.0
Summerland,CA,128311.0,2000001.0
Sunnyside,CA,106750.0,400700.0
Sunnyside-Tahoe City,CA,125144.0,921300.0
Sunny Slopes,CA,250001.0,687500.0
Sunnyvale,CA,174506.0,1680700.0
Sunol,CA,182250.0,1210400.0
Sun Village,CA,66158.0,329500.0
Susanville,CA,52997.0,203100.0
Sutter,CA,89539.0,345400.0
Sutter Creek,CA,59028.0,456400.0
Swall Meadows,CA,179792.0,777300.0
Taft,CA,52414.0,219400.0
Taft Heights,CA,60675.0,179700.0
Taft Mosswood,CA,63750.0,313900.0
Tahoe Vista,CA,91944.0,720300.0
Tahoma,CA,83971.0,783200.0
Talmage,CA,37017.0,614300.0
Tamalpais-Homestead Valley,CA,237786.0,1651200.0
Tancred,CA,,
Tara Hills,CA,113333.0,598800.0
Tarina,CA,,
Tarpey Village,CA,70982.0,315800.0
Taylorsville,CA,,
Tecopa,CA,31563.0,
Tehachapi,CA,62788.0,321800.0
Tehama,CA,53750.0,242600.0
Temecula,CA,111881.0,604300.0
Temelec,CA,66773.0,609500.0
Temescal Valley,CA,116672.0,613500.0
Temple City,CA,95263.0,877300.0
Templeton,CA,116316.0,698500.0
Tennant,CA,,93100.0
Terminous,CA,59000.0,279400.0
Terra Bella,CA,25370.0,213500.0
Teviston,CA,48500.0,
Thermal,CA,,151500.0
Thermalito,CA,48013.0,223200.0
Thornton,CA,43839.0,409100.0
Thousand Oaks,CA,125399.0,900600.0
Thousand Palms,CA,68504.0,252800.0
Three Rivers,CA,78590.0,403800.0
Three Rocks,CA,,163200.0
Tiburon,CA,200886.0,2000001.0
Timber Cove,CA,87500.0,812500.0
Tipton,CA,47695.0,213400.0
Tobin,CA,,
Tomales,CA,,821000.0
Tonyville,CA,23295.0,58900.0
Tooleville,CA,,
Topanga,CA,138400.0,1481700.0
Topaz,CA,,
Toro Canyon,CA,174929.0,2000001.0
Torrance,CA,109554.0,962300.0
Trabuco Canyon,CA,163750.0,1114800.0
Tracy,CA,111717.0,617300.0
Tranquillity,CA,54632.0,316500.0
Traver,CA,53438.0,211000.0
Tres Pinos,CA,222891.0,1044500.0
Trinidad,CA,82250.0,658500.0
Trinity Center,CA,36875.0,272400.0
Trinity Village,CA,80505.0,409500.0
Trona,CA,,
Trowbridge,CA,138750.0,548900.0
Truckee,CA,107423.0,785700.0
Tulare,CA,65933.0,286200.0
Tulelake,CA,41154.0,126900.0
Tuolumne City,CA,56429.0,341800.0
Tupman,CA,,110400.0
Turlock,CA,74559.0,400500.0
Tustin,CA,102065.0,850200.0
Tuttle,CA,,
Tuttletown,CA,73807.0,354500.0
Twain,CA,,
Twain Harte,CA,83538.0,435100.0
Twentynine Palms,CA,51392.0,214500.0
Twin Lakes (Mono County),CA,,
Twin Lakes (Santa Cruz County),CA,71769.0,864900.0
Ukiah,CA,62934.0,440500.0
Union City,CA,138013.0,1006600.0
University of California-Davis,CA,19541.0,115900.0
University of California-Merced,CA,,
University of California-Santa Barbara,CA,78214.0,455000.0
Upland,CA,93994.0,647400.0
Upper Lake,CA,104839.0,286400.0
Vacaville,CA,106764.0,560400.0
Valinda,CA,95244.0,588200.0
Vallecito,CA,,481000.0
Vallejo,CA,86112.0,515500.0
Valle Vista,CA,62440.0,281800.0
Valley Acres,CA,80694.0,194600.0
Valley Center,CA,104115.0,755700.0
Valley Ford,CA,,
Valley Home,CA,84297.0,700000.0
Valley Ranch,CA,,
Valley Springs,CA,90408.0,384500.0
Valley Wells,CA,,
Val Verde,CA,107381.0,468000.0
Vandenberg AFB,CA,69031.0,
Vandenberg Village,CA,93817.0,552100.0
Verdi,CA,,875000.0
Vernon,CA,69345.0,
Victor,CA,45446.0,
Victorville,CA,65746.0,300600.0
View Park-Windsor Hills,CA,112674.0,979700.0
Villa Park,CA,189306.0,1469200.0
Vina,CA,70833.0,
Vincent,CA,97417.0,570800.0
Vine Hill,CA,123523.0,600300.0
Vineyard,CA,108607.0,489400.0
Virginia Lakes,CA,,
Visalia,CA,75658.0,316600.0
Vista,CA,88715.0,622900.0
Vista Santa Rosa,CA,64375.0,387300.0
Volcano,CA,,
Volta,CA,,
Walker,CA,55149.0,444400.0
Wallace,CA,67614.0,465300.0
Walnut,CA,130444.0,942100.0
Walnut Creek,CA,129971.0,972800.0
Walnut Grove,CA,70852.0,625000.0
Walnut Park,CA,71683.0,555000.0
Warm Springs,CA,70750.0,316500.0
Warner Valley,CA,,
Wasco,CA,48109.0,224700.0
Washington,CA,,
Waterford,CA,64349.0,346700.0
Waterloo,CA,250001.0,867000.0
Watsonville,CA,72295.0,630100.0
Waukena,CA,78750.0,517900.0
Wautec,CA,,
Wawona,CA,64896.0,
Weaverville,CA,49539.0,324000.0
Weed,CA,35641.0,198800.0
Weedpatch,CA,21651.0,126500.0
Weitchpec,CA,,
Weldon,CA,27377.0,111400.0
Weott,CA,,
West Athens,CA,67552.0,638700.0
West Bishop,CA,105685.0,542600.0
West Carson,CA,91495.0,580500.0
West Covina,CA,96219.0,664500.0
West Goshen,CA,,
Westhaven-Moonstone,CA,88036.0,529200.0
West Hollywood,CA,89034.0,898900.0
Westlake Village,CA,188681.0,1208700.0
Westley,CA,29464.0,
West Menlo Park,CA,250001.0,2000001.0
Westminster,CA,80271.0,777100.0
West Modesto,CA,55500.0,280700.0
Westmont,CA,49958.0,592500.0
Westmorland,CA,31827.0,176100.0
West Park,CA,71250.0,193800.0
West Point,CA,65139.0,126300.0
West Puente Valley,CA,84365.0,578000.0
West Rancho Dominguez,CA,73375.0,533600.0
West Sacramento,CA,87044.0,460400.0
Westside,CA,,9999.0
West Whittier-Los Nietos,CA,88064.0,583700.0
Westwood,CA,34960.0,151900.0
Wheatland,CA,76991.0,328100.0
Whitehawk,CA,79107.0,
Whitewater,CA,74602.0,267000.0
Whitley Gardens,CA,,
Whitmore,CA,43250.0,331000.0
Whittier,CA,89686.0,707700.0
Wildomar,CA,89912.0,476500.0
Wilkerson,CA,103409.0,310000.0
Williams,CA,84457.0,330400.0
Williams Canyon,CA,,
Willits,CA,45592.0,294700.0
Willowbrook,CA,52384.0,469600.0
Willow Creek,CA,45451.0,298200.0
Willows,CA,61806.0,258800.0
Wilsonia,CA,,
Wilton,CA,176875.0,835000.0
Winchester,CA,70865.0,417700.0
Windsor,CA,128115.0,722700.0
Winter Gardens,CA,86009.0,543600.0
Winterhaven,CA,11699.0,
Winters,CA,128679.0,523300.0
Winton,CA,54503.0,267400.0
Wofford Heights,CA,36614.0,148900.0
Woodacre,CA,144632.0,1103800.0
Woodbridge,CA,116190.0,576000.0
Woodcrest,CA,139115.0,636300.0
Woodlake,CA,44719.0,238900.0
Woodland,CA,84494.0,476400.0
Woodlands,CA,151736.0,1031300.0
Woodside,CA,250001.0,2000001.0
Woodville,CA,38750.0,164800.0
Woodville Farm Labor Camp,CA,26438.0,
Woody,CA,113125.0,258300.0
Wrightwood,CA,70882.0,420000.0
Yankee Hill,CA,70469.0,278100.0
Yermo,CA,54242.0,
Yettem,CA,,
Yolo,CA,,
Yorba Linda,CA,148325.0,991400.0
Yosemite Lakes,CA,99491.0,350600.0
Yosemite Valley,CA,40987.0,
Yosemite West,CA,,
Yountville,CA,75134.0,645800.0
Yreka,CA,46387.0,209100.0
Yuba City,CA,70412.0,378900.0
Yucaipa,CA,85075.0,429700.0
Yucca Valley,CA,54153.0,278600.0
Zayante,CA,158176.0,675400.0
Acres Green,CO,124219.0,477600.0
Aetna Estates,CO,60857.0,52800.0
Aguilar,CO,27066.0,86900.0
Air Force Academy,CO,79250.0,
Akron,CO,52813.0,176500.0
Alamosa,CO,50239.0,187000.0
Alamosa East,CO,,260000.0
Allenspark,CO,144265.0,589000.0
Alma,CO,50795.0,405200.0
Alpine,CO,,271200.0
Altona,CO,250001.0,1128900.0
Amherst,CO,,
Antonito,CO,28639.0,69400.0
Applewood,CO,125455.0,679000.0
Arapahoe,CO,99000.0,56000.0
Arboles,CO,53571.0,234100.0
Aristocrat Ranchettes,CO,83500.0,351700.0
Arriba,CO,27500.0,132900.0
Arvada,CO,106014.0,553000.0
Aspen,CO,94338.0,842700.0
Aspen Park,CO,111964.0,605500.0
Atwood,CO,56985.0,175600.0
Ault,CO,76215.0,301400.0
Aurora,CO,78685.0,409700.0
Avon,CO,85817.0,609400.0
Avondale,CO,,112900.0
Bark Ranch,CO,,532400.0
Basalt,CO,103049.0,1106800.0
Battlement Mesa,CO,66737.0,200900.0
Bayfield,CO,84609.0,377600.0
Bennett,CO,82035.0,371300.0
Berkley,CO,77390.0,422600.0
Berthoud,CO,101817.0,458600.0
Bethune,CO,42917.0,99600.0
Beulah Valley,CO,46667.0,243800.0
Black Forest,CO,135859.0,743200.0
Black Hawk,CO,65417.0,463900.0
Blanca,CO,50125.0,96300.0
Blende,CO,58750.0,234500.0
Blue River,CO,150074.0,1094100.0
Blue Sky,CO,,
Blue Valley,CO,120208.0,611100.0
Bonanza,CO,,
Bonanza Mountain Estates,CO,,574600.0
Boone,CO,52708.0,36300.0
Boulder,CO,80243.0,919700.0
Bow Mar,CO,215714.0,1625000.0
Brandon,CO,,
Branson,CO,27500.0,50000.0
Breckenridge,CO,129481.0,903200.0
Brick Center,CO,134635.0,281100.0
Briggsdale,CO,53917.0,265600.0
Brighton,CO,86975.0,429600.0
Brook Forest,CO,145521.0,589900.0
Brookside,CO,57188.0,235500.0
Broomfield,CO,117541.0,581600.0
Brush,CO,64475.0,251000.0
Buena Vista,CO,58168.0,413900.0
Burlington,CO,61528.0,162400.0
Byers,CO,93750.0,354100.0
Calhan,CO,41477.0,225000.0
Campo,CO,,31700.0
Cañon City,CO,54308.0,262200.0
Capulin,CO,81131.0,
Carbonate,CO,,
Carbondale,CO,92083.0,750000.0
Cascade-Chipita Park,CO,78542.0,464000.0
Castle Pines,CO,189280.0,775200.0
Castle Pines Village,CO,250001.0,1210300.0
Castle Rock,CO,135985.0,577500.0
Cathedral,CO,,431300.0
Catherine,CO,,
Cattle Creek,CO,41926.0,
Cedaredge,CO,40395.0,231100.0
Centennial,CO,124617.0,586500.0
Center,CO,50203.0,100000.0
Central City,CO,58388.0,353300.0
Chacra,CO,,734400.0
Cheraw,CO,45750.0,93800.0
Cherry Creek,CO,146583.0,804400.0
Cherry Hills Village,CO,250001.0,2000001.0
Cheyenne Wells,CO,58125.0,149700.0
Cimarron Hills,CO,74646.0,314100.0
City of Creede,CO,51033.0,334400.0
Clifton,CO,55108.0,208400.0
Coal Creek,CO,129091.0,557000.0
Coal Creek,CO,37339.0,189600.0
Coaldale,CO,,275000.0
Cokedale,CO,44000.0,109700.0
Collbran,CO,43750.0,187100.0
Colona,CO,119625.0,
Colorado City,CO,55759.0,200000.0
Colorado Springs,CO,79026.0,383000.0
Columbine,CO,122048.0,550500.0
Columbine Valley,CO,250001.0,1294600.0
Comanche Creek,CO,215323.0,642900.0
Commerce City,CO,96484.0,436500.0
Conejos,CO,,
Cope,CO,48750.0,
Copper Mountain,CO,117926.0,
Cortez,CO,55962.0,204100.0
Cotopaxi,CO,,
Craig,CO,52443.0,230800.0
Crawford,CO,55375.0,180900.0
Crested Butte,CO,67625.0,1013000.0
Crestone,CO,,178500.0
Cripple Creek,CO,36783.0,220200.0
Crisman,CO,162500.0,891200.0
Crook,CO,23500.0,112500.0
Crowley,CO,34167.0,71200.0
Dacono,CO,94783.0,421100.0
Dakota Ridge,CO,116683.0,511800.0
De Beque,CO,60625.0,189700.0
Deer Trail,CO,64333.0,343800.0
Del Norte,CO,40756.0,127000.0
Delta,CO,45950.0,225200.0
Denver,CO,85853.0,540400.0
Derby,CO,77261.0,312700.0
Dillon,CO,79792.0,782500.0
Dinosaur,CO,48865.0,23200.0
Divide,CO,70294.0,297100.0
Dolores,CO,27251.0,223300.0
Dotsero,CO,79957.0,396800.0
Dove Creek,CO,70855.0,120100.0
Dove Valley,CO,73336.0,371000.0
Downieville-Lawson-Dumont,CO,54868.0,321300.0
Durango,CO,76177.0,569100.0
Eads,CO,44352.0,103900.0
Eagle,CO,101373.0,659400.0
East Pleasant View,CO,,363700.0
Eaton,CO,102314.0,399500.0
Echo Hills,CO,192206.0,471100.0
Eckley,CO,47031.0,106800.0
Edgewater,CO,71964.0,575300.0
Edwards,CO,89399.0,738900.0
Elbert,CO,54500.0,253400.0
Eldora,CO,,
Eldorado Springs,CO,100139.0,1165000.0
Elizabeth,CO,99889.0,405800.0
El Jebel,CO,120278.0,775400.0
Ellicott,CO,44219.0,
El Moro,CO,91250.0,236700.0
Empire,CO,60877.0,291700.0
Englewood,CO,79375.0,472400.0
Erie,CO,154509.0,644300.0
Estes Park,CO,63598.0,576500.0
Evans,CO,75544.0,305700.0
Evergreen,CO,144858.0,676300.0
Fairmount,CO,153600.0,724700.0
Fairplay,CO,80179.0,331700.0
Federal Heights,CO,56316.0,95300.0
Firestone,CO,106960.0,459600.0
Flagler,CO,38625.0,128400.0
Fleming,CO,48125.0,119600.0
Florence,CO,58167.0,215400.0
Florissant,CO,,
Floyd Hill,CO,153920.0,691100.0
Fort Carson,CO,62582.0,
Fort Collins,CO,78977.0,497400.0
Fort Garland,CO,36750.0,211800.0
Fort Lupton,CO,71293.0,346800.0
Fort Morgan,CO,55407.0,251000.0
Fountain,CO,80311.0,338000.0
Four Square Mile,CO,77125.0,422600.0
Fowler,CO,38162.0,121500.0
Foxfield,CO,168125.0,927200.0
Franktown,CO,,1007400.0
Fraser,CO,75893.0,498700.0
Frederick,CO,128078.0,484900.0
Frisco,CO,101140.0,704600.0
Fruita,CO,71550.0,331700.0
Fruitvale,CO,71747.0,271900.0
Fulford,CO,,
Garden City,CO,41250.0,168800.0
Gardner,CO,,
Garfield,CO,,
Genesee,CO,174375.0,963900.0
Genoa,CO,46250.0,85000.0
Georgetown,CO,56458.0,426900.0
Gerrard,CO,89474.0,
Gilcrest,CO,64583.0,267200.0
Glendale,CO,63143.0,351600.0
Glendale,CO,,
Gleneagle,CO,134332.0,499000.0
Glenwood Springs,CO,80806.0,530500.0
Golden,CO,90990.0,698700.0
Goldfield,CO,,157100.0
Gold Hill,CO,,
Granada,CO,44323.0,85000.0
Granby,CO,77679.0,346000.0
Grand Junction,CO,62993.0,317700.0
Grand Lake,CO,,346400.0
Grand View Estates,CO,144583.0,703200.0
Greeley,CO,65525.0,346400.0
Green Mountain Falls,CO,66953.0,418500.0
Greenwood Village,CO,139144.0,1140900.0
Grover,CO,46875.0,171900.0
Guffey,CO,,
Gunbarrel,CO,105335.0,712800.0
Gunnison,CO,63229.0,408600.0
Gypsum,CO,99726.0,481000.0
Hartman,CO,,
Hartsel,CO,,
Hasty,CO,24821.0,94200.0
Haswell,CO,51250.0,127500.0
Haxtun,CO,50500.0,203000.0
Hayden,CO,74028.0,332600.0
Heeney,CO,72153.0,
Hidden Lake,CO,,
Highlands Ranch,CO,148227.0,637400.0
Hillrose,CO,45313.0,201100.0
Hoehne,CO,,250000.0
Holly,CO,37679.0,94500.0
Holly Hills,CO,129700.0,611400.0
Holyoke,CO,51435.0,258000.0
Hooper,CO,42143.0,158300.0
Hotchkiss,CO,53214.0,189900.0
Hot Sulphur Springs,CO,83125.0,315800.0
Howard,CO,55970.0,379900.0
Hudson,CO,73542.0,303600.0
Hugo,CO,60500.0,207100.0
Idaho Springs,CO,72101.0,412600.0
Idalia,CO,137375.0,
Idledale,CO,,448000.0
Ignacio,CO,62833.0,243300.0
Iliff,CO,70750.0,117900.0
Indian Hills,CO,166429.0,691700.0
Inverness,CO,109339.0,678100.0
Jackson Lake,CO,75625.0,357400.0
Jamestown,CO,168063.0,460000.0
Jansen,CO,50417.0,153400.0
Joes,CO,,
Johnson Village,CO,65655.0,311400.0
Johnstown,CO,120395.0,461100.0
Julesburg,CO,37232.0,121300.0
Keenesburg,CO,86827.0,375500.0
Ken Caryl,CO,113459.0,498700.0
Kersey,CO,61111.0,300400.0
Keystone,CO,48847.0,910200.0
Kim,CO,28750.0,
Kiowa,CO,53500.0,327200.0
Kirk,CO,68333.0,
Kit Carson,CO,54792.0,129200.0
Kittredge,CO,143147.0,638400.0
Kremmling,CO,64141.0,314200.0
Lafayette,CO,105819.0,611500.0
Laird,CO,,
La Jara,CO,43333.0,145000.0
La Junta,CO,50799.0,145500.0
La Junta Gardens,CO,78906.0,221700.0
Lake City,CO,57548.0,341700.0
Lakeside,CO,34375.0,
Lakewood,CO,82786.0,494100.0
Lamar,CO,48422.0,116500.0
Laporte,CO,69732.0,355700.0
Larkspur,CO,62679.0,137500.0
La Salle,CO,91080.0,339100.0
Las Animas,CO,45355.0,71400.0
La Veta,CO,48297.0,291700.0
Lazear,CO,50667.0,
Lazy Acres,CO,150927.0,877300.0
Leadville,CO,80100.0,316800.0
Leadville North,CO,79942.0,378200.0
Lewis,CO,86591.0,376500.0
Leyner,CO,,
Limon,CO,49034.0,233900.0
Lincoln Park,CO,79408.0,263900.0
Littleton,CO,90273.0,552100.0
Lochbuie,CO,84556.0,333900.0
Loghill Village,CO,83542.0,731200.0
Log Lane Village,CO,58958.0,145000.0
Loma,CO,137995.0,599100.0
Lone Tree,CO,121066.0,768800.0
Longmont,CO,89720.0,488100.0
Louisville,CO,135840.0,781100.0
Louviers,CO,79438.0,381600.0
Loveland,CO,81898.0,426900.0
Lynn,CO,,
Lyons,CO,131179.0,814800.0
McClave,CO,70250.0,112500.0
McCoy,CO,,
Manassa,CO,60441.0,147000.0
Mancos,CO,63185.0,281000.0
Manitou Springs,CO,72775.0,498700.0
Manzanola,CO,33011.0,82500.0
Marble,CO,129792.0,625000.0
Marvel,CO,65833.0,259400.0
Matheson,CO,110313.0,316700.0
Maybell,CO,,
Maysville,CO,,948500.0
Mead,CO,120532.0,476400.0
Meeker,CO,69295.0,209800.0
Meridian,CO,89573.0,552600.0
Meridian Village,CO,192813.0,656300.0
Merino,CO,55000.0,181300.0
Midland,CO,53281.0,305000.0
Milliken,CO,96772.0,388000.0
Minturn,CO,103333.0,878400.0
Moffat,CO,,61300.0
Monte Vista,CO,51071.0,178100.0
Montezuma,CO,,554700.0
Montrose,CO,60132.0,317500.0
Monument,CO,102969.0,497900.0
Morgan Heights,CO,136648.0,398100.0
Morrison,CO,126250.0,690800.0
Mountain Meadows,CO,157976.0,629300.0
Mountain View,CO,120625.0,481400.0
Mountain Village,CO,56917.0,2000001.0
Mount Crested Butte,CO,93194.0,603000.0
Mulford,CO,132072.0,886400.0
Nathrop,CO,,263800.0
Naturita,CO,25278.0,155400.0
Nederland,CO,115120.0,617100.0
New Castle,CO,82473.0,436200.0
Niwot,CO,135758.0,818900.0
No Name,CO,145679.0,841300.0
Norrie,CO,,
Northglenn,CO,77797.0,399700.0
North La Junta,CO,51042.0,102300.0
North Washington,CO,,369000.0
Norwood,CO,53603.0,286500.0
Nucla,CO,40000.0,142000.0
Nunn,CO,86250.0,304500.0
Oak Creek,CO,87228.0,323100.0
Olathe,CO,60966.0,221400.0
Olney Springs,CO,48036.0,93400.0
Ophir,CO,121667.0,772100.0
Orchard,CO,36477.0,239500.0
Orchard City,CO,69556.0,280200.0
Orchard Mesa,CO,64688.0,284400.0
Ordway,CO,45938.0,78900.0
Otis,CO,52125.0,108900.0
Ouray,CO,68750.0,455400.0
Ovid,CO,28409.0,79300.0
Padroni,CO,,
Pagosa Springs,CO,32500.0,366700.0
Palisade,CO,56359.0,261600.0
Palmer Lake,CO,104712.0,396100.0
Paoli,CO,38750.0,175000.0
Paonia,CO,54643.0,276600.0
Parachute,CO,55089.0,245200.0
Paragon Estates,CO,170556.0,1640200.0
Park Center,CO,66830.0,305400.0
Parker,CO,126615.0,573000.0
Parshall,CO,,
Peetz,CO,51094.0,137500.0
Penrose,CO,77286.0,284700.0
Peoria,CO,114000.0,456300.0
Perry Park,CO,147548.0,726500.0
Peyton,CO,,
Phippsburg,CO,79397.0,293100.0
Piedra,CO,49167.0,116700.0
Pierce,CO,71071.0,289000.0
Pine Brook Hill,CO,,1127100.0
Pine Valley,CO,132778.0,910000.0
Pitkin,CO,80938.0,311100.0
Placerville,CO,94107.0,833300.0
Platteville,CO,76406.0,340100.0
Poncha Springs,CO,69015.0,394200.0
Ponderosa Park,CO,127901.0,626900.0
Portland,CO,,705400.0
Pritchett,CO,63750.0,
Pueblo,CO,52794.0,197700.0
Pueblo West,CO,89530.0,330000.0
Ramah,CO,,
Rangely,CO,70363.0,187400.0
Raymer (New Raymer),CO,36250.0,137500.0
Red Cliff,CO,74688.0,669900.0
Red Feather Lakes,CO,,341900.0
Redlands,CO,93223.0,426100.0
Redstone,CO,,
Redvale,CO,84107.0,171400.0
Rico,CO,83281.0,450000.0
Ridgway,CO,82903.0,599100.0
Rifle,CO,72955.0,323700.0
Rock Creek Park,CO,150250.0,625000.0
Rockvale,CO,54091.0,168500.0
Rocky Ford,CO,31418.0,101200.0
Rollinsville,CO,,476000.0
Romeo,CO,40000.0,105200.0
Roxborough Park,CO,150086.0,565500.0
Rye,CO,48875.0,213800.0
Saddle Ridge,CO,,841700.0
Saguache,CO,35795.0,129600.0
St. Ann Highlands,CO,,869100.0
St. Mary's,CO,67348.0,338900.0
Salida,CO,63775.0,459200.0
Salt Creek,CO,51731.0,240700.0
San Acacio,CO,,
Sanford,CO,50461.0,147500.0
San Luis,CO,27895.0,110400.0
Sawpit,CO,,
Security-Widefield,CO,80458.0,323300.0
Sedalia,CO,105938.0,
Sedgwick,CO,,117500.0
Segundo,CO,61250.0,131700.0
Seibert,CO,40625.0,70000.0
Seven Hills,CO,,
Severance,CO,121047.0,452200.0
Shaw Heights,CO,89125.0,416500.0
Sheridan,CO,53707.0,337900.0
Sheridan Lake,CO,58125.0,73300.0
Sherrelwood,CO,70086.0,368100.0
Sierra Ridge,CO,145417.0,682200.0
Silt,CO,72450.0,371900.0
Silver Cliff,CO,35583.0,225000.0
Silver Plume,CO,,509300.0
Silverthorne,CO,97558.0,650600.0
