state,name,lat,lon
AL,Epes,32.695049,-88.141963
AL,Equality,32.765659,-86.123185
AL,Ethelsville,33.414066,-88.216093
AL,Eufaula,31.909937,-85.152709
AL,Eunola,31.031391,-85.833966
AL,Eutaw,32.846247,-87.900332
AL,Eva,34.326504,-86.765318
AL,Evergreen,31.433216,-86.976081
AL,Excel,31.426386,-87.343663
AL,Fairfield,33.474802,-86.919407
AL,Fairford,31.178002,-88.072784
AL,Fairhope,30.52092,-87.879122
AL,Fairview,34.250195,-86.677724
AL,Falkville,34.377019,-86.909547
AL,Faunsdale,32.457614,-87.593789
AL,Fayette,33.694215,-87.831169
AL,Fayetteville,33.168097,-86.442774
AL,Fitzpatrick,32.210377,-85.873693
AL,Five Points,33.017311,-85.351592
AL,Flomaton,31.014816,-87.256016
AL,Florala,31.022391,-86.318152
AL,Florence,34.830323,-87.666139
AL,Foley,30.397009,-87.664211
AL,Forestdale,33.573701,-86.900047
AL,Forkland,32.647435,-87.867436
AL,Fort Deposit,31.986261,-86.566359
AL,Fort Payne,34.457329,-85.689447
AL,Fort Rucker,31.342576,-85.716072
AL,Franklin,32.452693,-85.78541
AL,Fredonia,32.983577,-85.292306
AL,Frisco City,31.439485,-87.404182
AL,Fruitdale,31.34979,-88.410937
AL,Fruithurst,33.729539,-85.431249
AL,Fulton,31.790989,-87.744212
AL,Fultondale,33.617363,-86.801436
AL,Fyffe,34.448957,-85.905167
AL,Gadsden,34.006597,-86.016078
AL,Gainesville,32.814934,-88.160791
AL,Gallant,34.001318,-86.230171
AL,Gantt,31.41074,-86.483524
AL,Garden City,34.014688,-86.749054
AL,Gardendale,33.676587,-86.809844
AL,Gaylesville,34.267444,-85.561248
AL,Geiger,32.868715,-88.318154
AL,Geneva,31.044886,-85.876818
AL,Georgiana,31.639134,-86.746762
AL,Geraldine,34.359087,-86.002579
AL,Gilbertown,31.866247,-88.307545
AL,Glen Allen,33.892108,-87.732682
AL,Glencoe,33.948339,-85.933606
AL,Glenwood,31.671266,-86.173687
AL,Goldville,33.084867,-85.777982
AL,Good Hope,34.110689,-86.867104
AL,Goodwater,33.060713,-86.052486
AL,Gordo,33.322286,-87.903681
AL,Gordon,31.143606,-85.092504
AL,Gordonville,32.159179,-86.704235
