state,name,lat,lon
AR,Lee County,34.779505,-90.779717
AR,Lincoln County,33.956385,-91.742355
AR,Little River County,33.701941,-94.236287
AR,Logan County,35.218654,-93.72091
AR,Lonoke County,34.755114,-91.894132
AR,Madison County,36.012545,-93.724053
AR,Marion County,36.266664,-92.678577
AR,Miller County,33.305505,-93.901502
AR,Mississippi County,35.766944,-90.052207
AR,Monroe County,34.679512,-91.20331
AR,Montgomery County,34.545656,-93.664153
AR,Nevada County,33.666699,-93.305072
AR,Newton County,35.910742,-93.215898
AR,Ouachita County,33.591168,-92.878413
AR,Perry County,34.946363,-92.926877
AR,Phillips County,34.423687,-90.855593
AR,Pike County,34.158191,-93.658659
AR,Poinsett County,35.56887,-90.681104
AR,Polk County,34.490915,-94.230884
AR,Pope County,35.456557,-93.026818
AR,Prairie County,34.831116,-91.55362
AR,Pulaski County,34.770311,-92.312996
AR,Randolph County,36.341298,-91.028441
AR,St. Francis County,35.022838,-90.751506
AR,Saline County,34.648525,-92.674463
AR,Scott County,34.858869,-94.063641
AR,Searcy County,35.896387,-92.695888
AR,Sebastian County,35.196981,-94.274989
AR,Sevier County,33.994877,-94.243279
AR,Sharp County,36.173399,-91.471069
AR,Stone County,35.857001,-92.140482
AR,Union County,33.168219,-92.598145
AR,Van Buren County,35.582953,-92.515976
AR,Washington County,35.978001,-94.217269
AR,White County,35.255118,-91.753034
AR,Woodruff County,35.192777,-91.244535
AR,Yell County,34.997713,-93.408303
CA,Alameda County,37.647139,-121.912488
CA,Alpine County,38.621783,-119.798352
CA,Amador County,38.443549,-120.653858
CA,Butte County,39.665336,-121.603209
CA,Calaveras County,38.191068,-120.554107
CA,Colusa County,39.177739,-122.237563
CA,Contra Costa County,37.919479,-121.951543
CA,Del Norte County,41.749903,-123.980998
CA,El Dorado County,38.785612,-120.534225
CA,Fresno County,36.761006,-119.655019
CA,Glenn County,39.602546,-122.4017
CA,Humboldt County,40.706655,-123.926176
CA,Imperial County,33.040814,-115.3554
CA,Inyo County,36.56216,-117.404209
CA,Kern County,35.346629,-118.729506
CA,Kings County,36.072478,-119.81553
CA,Lake County,39.108009,-122.745217
CA,Lassen County,40.715287,-120.621223
CA,Los Angeles County,34.196398,-118.261862
CA,Madera County,37.209821,-119.749802
CA,Marin County,38.051367,-122.746396
CA,Mariposa County,37.574343,-119.911721
CA,Mendocino County,39.432388,-123.442881
CA,Merced County,37.194806,-120.722802
CA,Modoc County,41.592918,-120.71837
CA,Mono County,37.915836,-118.875167
CA,Monterey County,36.240104,-121.315578
CA,Napa County,38.5071,-122.325904
CA,Nevada County,39.297508,-120.771343
CA,Orange County,33.675687,-117.777207
CA,Placer County,39.062032,-120.722718
CA,Plumas County,39.992295,-120.824371
CA,Riverside County,33.729828,-116.002239
CA,Sacramento County,38.450136,-121.344329
CA,San Benito County,36.611651,-121.085811
CA,San Bernardino County,34.856661,-116.181571
CA,San Diego County,33.023604,-116.776117
CA,San Francisco County,37.727239,-123.032229
CA,San Joaquin County,37.934982,-121.272244
CA,San Luis Obispo County,35.388189,-120.448897
CA,San Mateo County,37.414672,-122.371546
CA,Santa Barbara County,34.536677,-120.038364
CA,Santa Clara County,37.221614,-121.68954
CA,Santa Cruz County,37.012347,-122.007789
CA,Shasta County,40.760514,-122.043556
CA,Sierra County,39.576925,-120.521993
CA,Siskiyou County,41.587986,-122.533287
CA,Solano County,38.267226,-121.939594
CA,Sonoma County,38.525182,-122.92611
CA,Stanislaus County,37.562316,-121.002831
CA,Sutter County,39.03619,-121.70394
CA,Tehama County,40.126157,-122.232274
CA,Trinity County,40.647858,-123.114666
CA,Tulare County,36.228834,-118.781055
CA,Tuolumne County,38.021434,-119.964733
CA,Ventura County,34.358748,-119.133145
CA,Yolo County,38.679609,-121.90275
CA,Yuba County,39.27013,-121.344259
CO,Adams County,39.874325,-104.331872
CO,Alamosa County,37.568442,-105.788041
CO,Arapahoe County,39.644554,-104.331706
CO,Archuleta County,37.202395,-107.050863
CO,Baca County,37.30978,-102.543741
CO,Bent County,37.931891,-103.077584
CO,Boulder County,40.094966,-105.397702
CO,Broomfield County,39.953593,-105.050787
CO,Chaffee County,38.734599,-106.300025
CO,Cheyenne County,38.835646,-102.601791
CO,Clear Creek County,39.689403,-105.670783
CO,Conejos County,37.213406,-106.176447
CO,Costilla County,37.277547,-105.42894
CO,Crowley County,38.30618,-103.772736
CO,Custer County,38.101996,-105.373512
CO,Delta County,38.861595,-107.864892
CO,Denver County,39.76185,-104.881105
CO,Dolores County,37.733823,-108.506219
CO,Douglas County,39.325414,-104.925987
CO,Eagle County,39.626992,-106.695169
CO,Elbert County,39.315157,-104.114076
CO,El Paso County,38.827383,-104.527472
CO,Fremont County,38.45517,-105.424958
CO,Garfield County,39.599352,-107.90978
CO,Gilpin County,39.861156,-105.528878
CO,Grand County,40.113065,-106.110837
CO,Gunnison County,38.670499,-107.05688
