name,state,population,is_county
Fullerton,CA,142280,False
Denton,TX,142262,False
Olathe,KS,142114,False
Thornton,CO,141799,False
Visalia,CA,141466,False
Waco,TX,140545,False
Metairie,LA,140046,False
West Valley City,UT,138868,False
Orange,CA,138728,False
Warren,MI,138588,False
Pasadena,CA,137554,False
Dayton,OH,137305,False
Hampton,VA,137217,False
Cedar Rapids,IA,136929,False
Columbia,SC,136754,False
New Haven,CT,135736,False
Elizabeth,NJ,135665,False
Stamford,CT,135413,False
Kent,WA,135169,False
Miramar,FL,135158,False
Victorville,CA,134417,False
Coral Springs,FL,133801,False
Sterling Heights,MI,133744,False
Midland,TX,132490,False
Carrollton,TX,132284,False
Santa Clara,CA,128058,False
Norman,OK,127701,False
Fargo,ND,127319,False
Athens-Clarke County unified government (balance),GA,126672,False
Thousand Oaks,CA,126532,False
Topeka,KS,126431,False
Abilene,TX,126356,False
Columbia,MO,126172,False
Simi Valley,CA,126153,False
Allentown,PA,125292,False
Vallejo,CA,125132,False
Lewisville,TX,125028,False
Concord,CA,125007,False
Pearland,TX,124478,False
Lehigh Acres,FL,124440,False
Arvada,CO,123066,False
Independence,MO,122218,False
Ann Arbor,MI,122216,False
Lafayette,LA,121706,False
Palm Bay,FL,121513,False
Berkeley,CA,121385,False
Hartford,CT,121057,False
Rochester,MN,120848,False
Clovis,CA,120607,False
Round Rock,TX,120465,False
College Station,TX,120451,False
Meridian,ID,119872,False
Fairfield,CA,119420,False
The Woodlands,TX,118402,False
Richardson,TX,118063,False
Cambridge,MA,117962,False
West Palm Beach,FL,117588,False
East Los Angeles,CA,117222,False
Billings,MT,117093,False
Clearwater,FL,116984,False
Wilmington,NC,116933,False
Evansville,IN,116906,False
Spring Hill,FL,116882,False
West Jordan,UT,116383,False
North Charleston,SC,115755,False
Richmond,CA,115619,False
Westminster,CO,115502,False
Manchester,NH,115037,False
Antioch,CA,115016,False
Brandon,FL,114923,False
Carlsbad,CA,114745,False
Lowell,MA,114737,False
Beaumont,TX,114573,False
Waterbury,CT,114480,False
Lakeland,FL,114404,False
Provo,UT,114400,False
Broken Arrow,OK,114237,False
Springfield,IL,114214,False
Elgin,IL,114190,False
High Point,NC,114120,False
Gresham,OR,113525,False
League City,TX,113469,False
Odessa,TX,113353,False
Peoria,IL,113054,False
Downey,CA,113052,False
Lansing,MI,112986,False
Murrieta,CA,111899,False
Pompano Beach,FL,111790,False
Miami Gardens,FL,111618,False
Costa Mesa,CA,111490,False
Pueblo,CO,111430,False
Las Cruces,NM,111273,False
Everett,WA,110847,False
San Buenaventura (Ventura),CA,110358,False
Temecula,CA,110114,False
Sugar Land,TX,110077,False
Santa Maria,CA,109543,False
El Monte,CA,108682,False
Dearborn,MI,108414,False
West Covina,CA,108173,False
Sparks,NV,108025,False
Greeley,CO,107949,False
South Fulton,GA,107865,False
Centennial,CO,107702,False
Sandy Springs,GA,107221,False
Green Bay,WI,106846,False
Inglewood,CA,106806,False
Hillsboro,OR,106612,False
Columbia,MD,106600,False
Boulder,CO,106598,False
Tyler,TX,106440,False
Burbank,CA,106389,False
Davie,FL,105821,False
Tuscaloosa,AL,105797,False
El Cajon,CA,105721,False
Jurupa Valley,CA,105672,False
Allen,TX,105444,False
Renton,WA,105355,False
Concord,NC,105335,False
Brockton,MA,104713,False
Rio Rancho,NM,104351,False
San Mateo,CA,104165,False
Rialto,CA,103873,False
Spokane Valley,WA,103761,False
Menifee,CA,103680,False
Daly City,CA,103648,False
South Bend,IN,103084,False
Chico,CA,102790,False
Nampa,ID,102598,False
Wichita Falls,TX,102482,False
Riverview,FL,102467,False
Norwalk,CA,101893,False
Lee's Summit,MO,101728,False
Vacaville,CA,101631,False
Highlands Ranch,CO,101514,False
Davenport,IA,101448,False
San Tan Valley,AZ,101207,False
Quincy,MA,100981,False
Edinburg,TX,100964,False
Lynn,MA,100653,False
New Bedford,MA,100620,False
Hesperia,CA,99878,False
Albany,NY,99692,False
Federal Way,WA,99614,False
Kenosha,WI,99493,False
Carmel,IN,99453,False
Bend,OR,99442,False
San Angelo,TX,99422,False
Roanoke,VA,99213,False
Fishers,IN,99041,False
Vista,CA,98392,False
Longmont,CO,98282,False
Boca Raton,FL,97980,False
Beaverton,OR,97554,False
Goodyear,AZ,97542,False
Portsmouth,VA,97384,False
Orem,UT,97100,False
Yakima,WA,96764,False
Sunrise,FL,96510,False
Yuma,AZ,96314,False
St. George,UT,96174,False
Arden-Arcade,CA,96076,False
Sandy,UT,95635,False
Lawrence,KS,95103,False
Buckeye,AZ,95042,False
Fayetteville,AR,95022,False
Livonia,MI,94928,False
Suffolk,VA,94856,False
Erie,PA,94826,False
Compton,CA,94822,False
Reading,PA,94601,False
Edmond,OK,94503,False
Carson,CA,94475,False
Deltona,FL,94373,False
San Marcos,CA,94360,False
Tracy,CA,94027,False
Asheville,NC,93695,False
Fall River,MA,93638,False
Redding,CA,93327,False
Mission Viejo,CA,93233,False
Plantation,FL,93130,False
New Braunfels,TX,92993,False
Toms River,NJ,92827,False
Roswell,GA,92770,False
Conroe,TX,92475,False
South Gate,CA,92381,False
Santa Monica,CA,92168,False
Kirkland,WA,92015,False
Hoover,AL,91995,False
O'Fallon,MO,91825,False
Alafaya,FL,91531,False
Bellingham,WA,91353,False
Palm Coast,FL,91082,False
Norwalk,CT,91050,False
Lawton,OK,91023,False
Chino,CA,91008,False
Mount Pleasant,SC,90945,False
Nashua,NH,90943,False
Westminster,CA,90638,False
Germantown,MD,90210,False
Trenton,NJ,90055,False
San Leandro,CA,89723,False
Hemet,CA,89651,False
Indio,CA,89616,False
Town 'n' Country,FL,89456,False
Clifton,NJ,89451,False
Waukegan,IL,89435,False
Fort Smith,AR,89315,False
Bloomington,MN,89244,False
Avondale,AZ,89214,False
Atascocita,TX,89121,False
Fort Myers,FL,88699,False
Santa Barbara,CA,88640,False
Champaign,IL,88628,False
Newton,MA,88453,False
Lawrence,MA,88067,False
Greenville,NC,87894,False
Merced,CA,87686,False
Santa Fe,NM,87617,False
Troy,MI,87170,False
Livermore,CA,87154,False
Citrus Heights,CA,87127,False
Hawthorne,CA,86978,False
Duluth,MN,86772,False
Ogden,UT,86754,False
Springdale,AR,86705,False
Whittier,CA,86459,False
Danbury,CT,86456,False
Deerfield Beach,FL,86455,False
San Ramon,CA,86119,False
Mission,TX,85755,False
Auburn,WA,85623,False
Lake Forest,CA,85583,False
Medford,OR,85539,False
Sioux City,IA,85469,False
Newport Beach,CA,85159,False
Melbourne,FL,84982,False
Brooklyn Park,MN,84951,False
Bryan,TX,84820,False
Westland,MI,84806,False
Baytown,TX,84449,False
Cicero,IL,84189,False
Manteca,CA,83897,False
Kennewick,WA,83823,False
Franklin,TN,83630,False
Farmington Hills,MI,83562,False
Buena Park,CA,83542,False
Temple,TX,83473,False
Pine Hills,FL,83221,False
Redwood City,CA,83077,False
Warwick,RI,82783,False
Cranston,RI,82691,False
Largo,FL,82541,False
Lake Charles,LA,82430,False
Miami Beach,FL,82400,False
Alhambra,CA,82295,False
Johns Creek,GA,82230,False
Longview,TX,82176,False
Mountain View,CA,82132,False
Flint,MI,81863,False
Silver Spring,MD,81808,False
Layton,UT,81726,False
Lakewood,CA,81499,False
Waldorf,MD,81077,False
Folsom,CA,81077,False
New Rochelle,NY,80828,False
Gastonia,NC,80615,False
Parma,OH,80587,False
Somerville,MA,80464,False
Warner Robins,GA,80374,False
Boynton Beach,FL,80068,False
Homestead,FL,79996,False
Plymouth,MN,79918,False
Tustin,CA,79514,False
Pharr,TX,79434,False
Napa,CA,79233,False
Lynchburg,VA,79166,False
Rancho Cordova,CA,79128,False
The Villages,FL,79108,False
Milpitas,CA,79092,False
Bloomington,IN,79006,False
Perris,CA,78881,False
Upland,CA,78847,False
Bloomington,IL,78788,False
Pleasanton,CA,78691,False
Kissimmee,FL,78478,False
Kendall,FL,78402,False
Frederick,MD,78390,False
Jonesboro,AR,78379,False
Bellflower,CA,78352,False
Chino Hills,CA,78223,False
Carmichael,CA,78144,False
South Jordan,UT,78118,False
Schaumburg,IL,77571,False
Alameda,CA,77565,False
Racine,WI,77453,False
Hammond,IN,77390,False
Pasco,WA,77274,False
Evanston,IL,77181,False
Lehi,UT,77110,False
North Port,FL,76975,False
Arlington Heights,IL,76794,False
Wyoming,MI,76732,False
Auburn,AL,76660,False
Flower Mound,TX,76630,False
Bethlehem,PA,76555,False
Loveland,CO,76500,False
Cheektowaga,NY,76483,False
Pittsburg,CA,76419,False
Cedar Park,TX,76344,False
Flagstaff,AZ,76177,False
Scranton,PA,76119,False
Southfield,MI,76107,False
Rochester Hills,MI,76041,False
Rapid City,SD,75632,False
Apple Valley,CA,75603,False
Woodbury,MN,75549,False
Pawtucket,RI,75176,False
Appleton,WI,75133,False
Doral,FL,74891,False
Iowa City,IA,74878,False
Missoula,MT,74627,False
Missouri City,TX,74517,False
New Britain,CT,74212,False
Rock Hill,SC,74170,False
Castle Rock,CO,74065,False
Lauderhill,FL,73987,False
Broomfield,CO,73946,False
Dale City,VA,73928,False
Bolingbrook,IL,73755,False
Redmond,WA,73728,False
Bismarck,ND,73694,False
Mansfield,TX,73680,False
Ellicott City,MD,73589,False
Kalamazoo,MI,73342,False
Daytona Beach,FL,73329,False
Redlands,CA,73234,False
Mount Vernon,NY,72817,False
Centreville,VA,72680,False
Gulfport,MS,72524,False
Turlock,CA,72504,False
Bowling Green,KY,72385,False
St. Joseph,MO,72198,False
Jacksonville,NC,71908,False
Framingham,MA,71805,False
Camden,NJ,71799,False
Georgetown,TX,71788,False
Baldwin Park,CA,71692,False
